,Grade,Age,Gender,Programming,ProgramingExtent,DBN1,DBN2,DBN3,DBN4,DBN5,DBN6,DBN_Total,DBN_POMP,Test,Int1,Int2,Int3R,Int4R,Int5,Int6,Int7,Int_Mean,Val1,Val2,Val3,Val4,Val5,Val6,Val_Mean,Exp1,Exp2,Exp3,Exp4,Exp5,Exp_Mean,Int_Mean_1,Val_Mean_1,Exp_Mean_1,DBN_POMP_0,DBN_POMP_17,DBNandNoTest,Int_Mean_1R
42,6,12,Male,1,3,,,NA,NA,NA,NA,NA,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6.6,7,7,6.6,NA,NA,0,7
43,6,12,Female,1,1,,,NA,NA,NA,NA,NA,0,0,3,3,7,4,5,3,5,4.3,2,4,2,5,3,7,3.8,4,6,5,3,6,4.8,4.3,3.8,4.8,NA,NA,0,3.8
44,7,14,Female,1,1,,,NA,NA,NA,NA,NA,0,0,3,3,7,7,3,3,7,4.7,3,3,1,3,1,3,2.3,3,7,3,5,3,4.2,4.7,2.3,4.2,NA,NA,0,3.8
45,6,12,Male,1,1,,,NA,NA,NA,NA,NA,0,0,3,1,5,7,4,2,1,3.3,1,1,2,1,2,3,1.7,2,2,1,6,7,3.6,3.3,1.7,3.6,NA,NA,0,2.2
46,6,12,Male,1,2,,,NA,NA,NA,NA,NA,0,0,4,6,7,5,1,5,2,4.3,3,3,NA,5,5,4,4,3,2,4,4,3,3.2,4.3,4,3.2,NA,NA,0,3.6
47,6,11,NA,1,2,,,NA,NA,NA,NA,NA,0,0,5,7,7,7,5,6,4,5.9,3,5,4,5,7,6,5,5,3,5,4,5,4.4,5.9,5,4.4,NA,NA,0,5.4
48,6,12,Male,1,2,,,NA,NA,NA,NA,NA,0,0,1,1,1,7,1,1,1,1.9,1,1,7,1,1,1,2,7,5,7,7,1,5.4,1.9,2,5.4,NA,NA,0,1
49,6,13,Male,1,2,,,NA,NA,NA,NA,NA,0,0,7,5,3,3,7,4,7,5.1,4,7,1,1,1,1,2.5,1,NA,1,4,1,1.75,5.1,2.5,1.75,NA,NA,0,6
50,6,12,Male,1,2,,,NA,NA,NA,NA,NA,0,0,3,2,1,1,1,2,1,1.6,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1.6,3.20405405405405,1,NA,NA,0,1.8
51,6,12,Male,1,2,,,NA,NA,NA,NA,NA,0,0,4,4,6,6,4,7,4,5,4,4,4,4,4,3,3.8,7,7,7,7,7,7,5,3.8,7,NA,NA,0,4.6
