,Grade,Age,Gender,Programming,ProgramingExtent,DBN1,DBN2,DBN3,DBN4,DBN5,DBN6,DBN_Total,DBN_POMP,DBN_Total_N,DBN_POMP_N,Test,Int1,Int2,Int3R,Int4R,Int5,Int6,Int7,Int_Mean,Val1,Val2,Val3,Val4,Val5,Val6,Val_Mean,Exp1,Exp2,Exp3,Exp4,Exp5,Exp_Mean,Int_Mean_1,Val_Mean_1,Exp_Mean_1,DBN_POMP_0,DBN_POMP_17,DBNandNoTest,Int_Mean_1R,PerfAndControl
44,7,14,1,1,1,,,NA,NA,NA,NA,NA,NA,0,0,0,3,3,7,7,3,3,7,4.7,3,3,1,3,1,3,2.3,3,7,3,5,3,4.2,4.7,2.3,4.2,NA,NA,0,3.8,0
45,6,12,0,1,1,,,NA,NA,NA,NA,NA,NA,0,0,0,3,1,5,7,4,2,1,3.3,1,1,2,1,2,3,1.7,2,2,1,6,7,3.6,3.3,1.7,3.6,NA,NA,0,2.2,0
46,6,12,0,1,2,,,NA,NA,NA,NA,NA,NA,3,14,0,4,6,7,5,1,5,2,4.3,3,3,NA,5,5,4,4,3,2,4,4,3,3.2,4.3,4,3.2,NA,NA,0,3.6,0
47,6,11,NA,1,2,,,NA,NA,NA,NA,NA,NA,0,0,0,5,7,7,7,5,6,4,5.9,3,5,4,5,7,6,5,5,3,5,4,5,4.4,5.9,5,4.4,NA,NA,0,5.4,0
48,6,12,0,1,2,,,NA,NA,NA,NA,NA,NA,13,62,0,1,1,1,7,1,1,1,1.9,1,1,7,1,1,1,2,7,5,7,7,1,5.4,1.9,2,5.4,NA,NA,0,1,0
49,6,13,0,1,2,,,NA,NA,NA,NA,NA,NA,2,10,0,7,5,3,3,7,4,7,5.1,4,7,1,1,1,1,2.5,1,NA,1,4,1,1.75,5.1,2.5,1.75,NA,NA,0,6,0
50,6,12,0,1,2,,,NA,NA,NA,NA,NA,NA,5,24,0,3,2,1,1,1,2,1,1.6,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1.6,3.204054054,1,NA,NA,0,1.8,0
51,6,12,0,1,2,,,NA,NA,NA,NA,NA,NA,5,24,0,4,4,6,6,4,7,4,5,4,4,4,4,4,3,3.8,7,7,7,7,7,7,5,3.8,7,NA,NA,0,4.6,0
52,6,11,0,1,2,,,NA,NA,NA,NA,NA,NA,0,0,0,6,5,5,5,5,4,4,4.9,7,5,NA,7,2,5,5.2,6,4,6,5,4,5,4.9,5.2,5,NA,NA,0,4.8,0
53,6,11,0,1,3,,,NA,NA,NA,NA,NA,NA,0,0,0,7,7,7,7,7,7,7,7,6,5,7,6,6,6,6,7,6,7,7,6,6.6,7,6,6.6,NA,NA,0,7,0
54,6,11,0,1,2,,,NA,NA,NA,NA,NA,NA,0,0,0,7,4,6,7,5,5,5,5.6,2,6,5,7,6,7,5.5,7,6,6,4,3,5.2,5.6,5.5,5.2,NA,NA,0,5.2,0
55,6,11,1,1,1,,,NA,NA,NA,NA,NA,NA,11,52,0,4,2,2,2,1,6,1,2.6,5,1,2,3,2,1,2.3,1,3,2,3,1,2,2.6,2.3,2,NA,NA,0,2.8,0
56,6,12,1,1,1,,,NA,NA,NA,NA,NA,NA,0,0,0,5,1,5,6,6,2,1,3.7,2,1,4,7,3,2,3.2,7,2,4,3,3,3.8,3.7,3.2,3.8,NA,NA,0,3,0
57,6,11,0,1,2,,,NA,NA,NA,NA,NA,NA,0,0,0,3,5,4,4,6,5,3,4.3,2,5,3,4,3,3,3.3,3,1,5,7,5,4.2,4.3,3.3,4.2,NA,NA,0,4.4,0
58,6,13,0,1,1,,,NA,NA,NA,NA,NA,NA,5,24,0,7,4,4,7,5,3,4,4.9,2,1,4,1,4,3,2.5,4,4,3,6,2,3.8,4.9,2.5,3.8,NA,NA,0,4.6,0
59,6,11,1,1,2,,,NA,NA,NA,NA,NA,NA,5,24,0,1,1,1,2,1,1,1,1.1,1,2,1,1,1,1,1.2,3,2,2,1,2,2,1.1,1.2,2,NA,NA,0,1,0
60,8,13,1,1,1,,,NA,NA,NA,NA,NA,NA,0,0,0,7,7,7,7,6,6,4,6.3,4,6,5,7,6,6,5.7,4,6,6,6,6,5.6,6.3,5.7,5.6,NA,NA,0,6,0
61,6,12,1,1,2,,,NA,NA,NA,NA,NA,NA,5,24,0,3,5,7,7,6,4,7,5.6,3,5,6,4,2,5,4.2,5,2,7,3,6,4.6,5.6,4.2,4.6,NA,NA,0,5,0
62,8,13,1,1,2,,,NA,NA,NA,NA,NA,NA,0,0,0,3,2,3,3,2,1,1,2.1,5,NA,2,4,2,1,2.8,4,3,4,3,3,3.4,2.1,2.8,3.4,NA,NA,0,1.8,0
63,8,13,1,1,1,,,NA,NA,NA,NA,NA,NA,5,24,0,2,2,2,2,2,2,2,2,5,4,4,4,3,4,4,2,1,4,3,2,2.4,2,4,2.4,NA,NA,0,2,0
64,8,14,1,1,1,,,NA,NA,NA,NA,NA,NA,0,0,0,2,2,1,2,5,2,2,2.3,2,2,2,2,2,2,2,2,2,2,2,2,2,2.3,2,2,NA,NA,0,2.6,0
65,8,15,0,1,1,,,NA,NA,NA,NA,NA,NA,3,14,0,6,4,7,7,5,6,5,5.7,7,4,5,4,4,5,4.8,7,4,7,7,4,5.8,5.7,4.8,5.8,NA,NA,0,5.2,0
66,8,14,1,1,2,,,NA,NA,NA,NA,NA,NA,7,33,0,6,7,6,7,5,7,7,6.4,7,5,5,7,2,7,5.5,5,3,4,4,4,4,6.4,5.5,4,NA,NA,0,6.4,0
67,8,14,0,1,1,,,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1.4,1,1,1.4,NA,NA,0,1,0
68,8,14,0,1,1,,,NA,NA,NA,NA,NA,NA,5,24,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,0,1,0
69,8,13,0,1,1,,,NA,NA,NA,NA,NA,NA,3,14,0,5,5,5,3,5,5,3,4.4,7,5,3,6,6,5,5.3,5,4,5,6,4,4.8,4.4,5.3,4.8,NA,NA,0,4.6,0
70,8,14,0,1,1,,,NA,NA,NA,NA,NA,NA,4,19,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,0,4,0
71,8,13,0,1,2,,,NA,NA,NA,NA,NA,NA,,,0,4,4,5,5,3,3,3,3.9,3,2,2,1,1,1,1.7,5,5,6,6,6,5.6,3.9,1.7,5.6,NA,NA,0,3.4,0
72,8,13,0,1,1,,,NA,NA,NA,NA,NA,NA,,,0,4,3,2,2,2,2,2,2.4,5,1,2,3,2,2,2.5,1,1,1,2,2,1.4,2.4,2.5,1.4,NA,NA,0,2.6,0
73,8,14,1,1,1,,,NA,NA,NA,NA,NA,NA,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,4,4,6,NA,NA,0,4,0
74,8,15,1,1,1,,,NA,NA,NA,NA,NA,NA,,,0,3,4,4,4,5,5,5,4.3,5,3,2,4,5,6,4.2,7,6,6,5,2,5.2,4.3,4.2,5.2,NA,NA,0,4.4,0
75,8,13,1,1,1,,,NA,NA,NA,NA,NA,NA,,,0,2,1,1,1,1,1,1,1.1,4,5,1,4,1,3,3,4,2,6,4,3,3.8,1.1,3,3.8,NA,NA,0,1.2,0
76,8,14,1,1,1,,,NA,NA,NA,NA,NA,NA,,,0,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2.3,3,3,3,3,3,3,4,2.3,3,NA,NA,0,4,0
77,8,15,0,1,1,,,NA,NA,NA,NA,NA,NA,,,0,4,2,2,4,2,3,1,2.6,5,1,1,2,1,2,2,3,1,2,2,4,2.4,2.6,2,2.4,NA,NA,0,2.4,0
78,8,14,0,1,1,,,NA,NA,NA,NA,NA,NA,,,0,2,2,2,2,1,2,1,1.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1.7,1,1,NA,NA,0,1.6,0
79,8,14,0,1,1,,,NA,NA,NA,NA,NA,NA,,,0,5,5,7,7,5,4,3,5.1,4,3,5,4,3,4,3.8,2,2,3,2,4,2.6,5.1,3.8,2.6,NA,NA,0,4.4,0
80,8,13,1,1,1,,,NA,NA,NA,NA,NA,NA,,,0,5,6,6,6,5,6,5,5.6,6,6,6,6,5,6,5.8,5,6,6,6,6,5.8,5.6,5.8,5.8,NA,NA,0,5.4,0
81,8,13,0,1,1,,,NA,NA,NA,NA,NA,NA,,,0,6,7,7,7,6,6,6,6.4,6,4,5,5,3,5,4.7,5,5,5,5,5,5,6.4,4.7,5,NA,NA,0,6.2,0
82,8,14,1,1,1,,,NA,NA,NA,NA,NA,NA,,,0,3,3,1,1,1,7,5,3,5,7,6,4,3,4,4.8,3,7,6,5,4,5,3,4.8,5,NA,NA,0,3.8,0
83,8,13,0,1,1,,,NA,NA,NA,NA,NA,NA,,,0,1,4,1,5,2,4,1,2.6,5,2,2,6,2,2,3.2,1,1,5,5,1,2.6,2.6,3.2,2.6,NA,NA,0,2.4,0
84,8,13,0,1,1,,,NA,NA,NA,NA,NA,NA,,,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1.2,7,7,7,7,7,7,1,1.2,7,NA,NA,0,1,0
85,8,14,0,1,2,,,NA,NA,NA,NA,NA,NA,,,0,4,4,4,4,4,6,1,3.9,4,4,4,4,5,4,4.2,6,5,7,4,4,5.2,3.9,4.2,5.2,NA,NA,0,3.8,0
86,8,14,0,1,2,,,NA,NA,NA,NA,NA,NA,,,0,4,3,7,3,4,3,5,4.1,3,5,6,3,2,7,4.3,3,5,3,4,5,4,4.1,4.3,4,NA,NA,0,3.8,0
87,8,13,0,1,2,,,NA,NA,NA,NA,NA,NA,,,0,1,1,1,NA,1,2,1,1.2,3,2,2,4,2,4,2.8,4,3,2,3,4,3.2,1.2,2.8,3.2,NA,NA,0,1.2,0
88,8,13,0,1,1,,,NA,NA,NA,NA,NA,NA,,,0,1,1,7,1,1,1,2,2,1,1,1,2,1,1,1.2,2,1,1,1,1,1.2,2,1.2,1.2,NA,NA,0,1.2,0
89,8,13,1,1,1,,,NA,NA,NA,NA,NA,NA,,,0,2,2,1,1,2,1,1,1.4,4,2,1,2,2,2,2.2,2,1,2,2,1,1.6,1.4,2.2,1.6,NA,NA,0,1.6,0
90,8,14,0,1,1,,,NA,NA,NA,NA,NA,NA,,,0,1,1,6,7,1,3,1,2.9,1,1,1,1,1,1,1,1,1,1,1,1,1,2.9,1,1,NA,NA,0,1.4,0
91,8,13,0,1,1,,,NA,NA,NA,NA,NA,NA,,,0,2,2,1,4,2,2,2,2.1,4,3,3,4,4,3,3.5,4,4,1,3,3,3,2.1,3.5,3,NA,NA,0,2,0
92,8,14,1,1,2,,,NA,NA,NA,NA,NA,NA,,,0,1,1,2,2,1,1,1,1.3,4,3,1,1,3,4,2.7,2,1,2,3,2,2,1.3,2.7,2,NA,NA,0,1,0
93,8,14,1,1,2,,,NA,NA,NA,NA,NA,NA,,,0,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,NA,NA,0,1,0
94,8,13,0,1,1,,,NA,NA,NA,NA,NA,NA,,,0,3,3,1,2,2,2,2,2.1,5,1,2,1,2,1,2,7,1,2,3,2,3,2.1,2,3,NA,NA,0,2.4,0
95,8,14,0,1,1,,,NA,NA,NA,NA,NA,NA,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,7,NA,NA,0,1,0
96,8,13,1,1,2,,,NA,NA,NA,NA,NA,NA,,,0,2,2,1,5,2,2,2,2.3,4,2,2,4,5,2,3.2,4,3,4,4,2,3.4,2.3,3.2,3.4,NA,NA,0,2,0
97,8,13,1,1,2,,,NA,NA,NA,NA,NA,NA,,,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1.2,3,2,3,4,2,2.8,1,1.2,2.8,NA,NA,0,1,0
98,8,13,0,1,1,,,NA,NA,NA,NA,NA,NA,,,0,7,7,7,7,7,7,7,7,6,7,7,7,6,6,6.5,7,7,7,7,6,6.8,7,6.5,6.8,NA,NA,0,7,0
99,8,13,0,1,1,,,NA,NA,NA,NA,NA,NA,,,0,4,4,6,6,4,4,3,4.4,5,5,7,7,4,4,5.3,7,7,7,7,7,7,4.4,5.3,7,NA,NA,0,3.8,0
100,8,13,0,1,2,,,NA,NA,NA,NA,NA,NA,,,0,5,5,5,5,4,4,1,4.1,4,2,3,2,1,1,2.2,7,7,7,7,7,7,4.1,2.2,7,NA,NA,0,3.8,0
101,8,14,0,1,1,,,NA,NA,NA,NA,NA,NA,,,0,4,4,4,4,3,3,2,3.4,1,1,1,1,1,1,7,7,7,7,7,7,7,3.4,7,7,NA,NA,0,3.2,0
102,8,13,0,1,2,,,NA,NA,NA,NA,NA,NA,,,0,7,3,NA,6,7,3,2,4.7,4,4,3,4,1,3,3.2,6,6,4,5,4,5,4.7,3.2,5,NA,NA,0,4.4,0
103,8,13,0,1,1,,,NA,NA,NA,NA,NA,NA,,,0,5,5,7,7,5,6,4,5.6,6,5,3,6,4,4,4.7,5,4,5,6,4,4.8,5.6,4.7,4.8,NA,NA,0,5,0
104,7,14,0,0,0,0,0,0,0,0,0,0,0,,,1,7,1,5,7,1,7,5,4.7,7,5,4,7,7,5,5.8,NA,NA,NA,NA,NA,NA,4.7,5.8,3.686238532,0,0,1,4.2,1
105,7,13,1,0,0,0,0,0,0,0,0,0,0,,,1,5,4,3,3,5,7,7,4.9,6,6,5,6,7,7,6.2,5,6,6,7,7,6.2,4.9,6.2,6.2,0,0,1,5.6,1
106,8,14,0,0,0,,,NA,NA,NA,NA,0,0,,,1,7,1,7,1,1,1,1,2.7,1,1,1,1,7,1,2,7,7,7,7,7,7,2.7,2,7,0,0,1,2.2,1
107,7,13,0,0,0,0,0,0,0,0,0,0,0,,,1,2,2,6,5,3,2,2,3.1,2,2,2,2,2,2,2,2,2,2,2,2,2,3.1,2,2,0,0,1,2.2,1
108,7,13,0,0,0,0,0,0,0,0,0,0,0,,,1,3,2,1,2,2,1,2,1.9,2,3,2,2,2,2,2.2,7,3,5,3,2,4,1.9,2.2,4,0,0,1,2,1
109,8,14,0,0,0,0,0,0,0,0,0,0,0,,,1,2,2,2,2,2,2,2,2,3,1,3,3,3,3,2.7,2,2,3,3,2,2.4,2,2.7,2.4,0,0,1,2,1
110,7,13,0,0,0,0,0,0,0,0,0,0,0,,,1,4,3,5,4,3,4,5,4,5,4,4,5,4,4,4.3,5,5,5,5,4,4.8,4,4.3,4.8,0,0,1,3.8,1
111,8,14,1,0,0,0,0,0,0,0,0,0,0,,,1,3,2,6,6,1,4,1,3.3,1,7,3,7,7,4,4.8,3,7,7,7,7,6.2,3.3,4.8,6.2,0,0,1,2.2,1
112,8,13,1,0,0,0,0,0,0,0,0,0,0,,,1,6,7,NA,NA,6,6,6,6.2,7,7,4,6,4,6,5.7,7,7,7,7,7,7,6.2,5.7,7,0,0,1,6.2,1
113,8,13,0,0,0,0,0,0,0,0,0,0,0,,,1,2,3,7,2,1,1,1,2.4,2,1,1,1,1,1,1.2,5,4,4,4,4,4.2,2.4,1.2,4.2,0,0,1,1.6,1
114,7,13,1,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
115,7,13,0,0,0,0,0,0,0,0,0,0,0,,,1,4,1,1,1,1,1,1,1.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1.4,1,1,0,0,1,1.6,1
116,7,13,1,0,0,0,0,0,0,0,0,0,0,,,1,6,1,1,7,5,1,1,3.1,6,1,1,5,7,1,3.5,4,1,3,1,2,2.2,3.1,3.5,2.2,0,0,1,2.8,1
117,6,13,0,1,3,0,0,0,0,0,0,0,0,,,1,7,7,7,7,7,4,1,5.7,4,4,4,4,7,7,5,7,4,7,7,7,6.4,5.7,5,6.4,0,0,1,5.2,1
118,7,13,1,1,1,0,0,0,0,0,0,0,0,,,1,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1,1,1,1,1,1,1,2.7,1,1,0,0,1,1,1
119,7,13,0,1,1,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
120,7,12,0,1,1,0,0,0,0,0,0,0,0,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,3,5,2.8,3.530044843,3.204054054,2.8,0,0,1,NA,1
121,7,12,0,1,1,0,0,0,0,0,0,0,0,,,1,5,4,5,6,5,7,5,5.3,1,1,1,1,1,1,1,3,3,4,5,5,4,5.3,1,4,0,0,1,5.2,1
122,7,12,0,1,3,Y,Y,0,1,1,1,1,0,,,1,4,67,4,3,3,4,3,2,3,3.1,6,2,4,5,3,2,3.7,6,7,5,6,2,3,6,0,0,1,4,1
123,7,13,0,1,2,Y,Y,1,0,1,1,1,0,,,1,4,67,6,6,6,6,6,6,6,6,5,4,5,5,3,4,4.3,5,5,4,5,6,3,5,0,0,1,5.6,1
124,7,13,0,1,2,0,0,0,0,0,0,0,0,,,1,6,6,3,2,4,4,5,4.3,4,4,4,3,2,2,3.2,5,5,6,6,6,5.6,4.3,3.2,5.6,0,0,1,5,1
125,7,13,1,1,1,0,0,0,0,0,0,0,0,,,1,2,1,NA,1,1,2,1,1.3,4,3,1,3,2,4,2.8,2,1,2,4,1,2,1.3,2.8,2,0,0,1,1.4,1
126,7,13,1,1,1,0,0,0,0,0,0,0,0,,,1,3,3,7,7,3,3,3,4.1,3,3,3,3,7,7,4.3,7,3,7,7,7,6.2,4.1,4.3,6.2,0,0,1,3,1
127,7,13,1,1,1,0,0,0,0,0,0,0,0,,,1,4,4,4,6,1,1,1,3,2,1,1,5,2,6,2.8,4,2,2,1,3,2.4,3,2.8,2.4,0,0,1,2.2,1
128,7,13,1,1,1,0,0,0,0,0,0,0,0,,,1,3,3,2,2,3,4,2,2.7,4,3,2,3,1,3,2.7,6,5,5,6,2,4.8,2.7,2.7,4.8,0,0,1,3,1
129,7,12,1,1,2,0,0,0,0,0,0,0,0,,,1,5,4,6,6,6,2,2,4.4,2,3,1,2,2,3,2.2,2,2,3,4,5,3.2,4.4,2.2,3.2,0,0,1,3.8,1
130,7,12,0,1,1,0,0,0,0,0,0,0,0,,,1,4,7,7,7,7,7,7,6.6,7,4,4,7,7,4,5.5,7,4,7,7,4,5.8,6.6,5.5,5.8,0,0,1,6.4,1
131,7,12,1,1,2,0,0,0,0,0,0,0,0,,,1,3,2,4,4,3,3,1,2.9,2,1,1,3,1,1,1.5,7,6,5,6,6,6,2.9,1.5,6,0,0,1,2.4,1
132,7,12,1,1,1,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,1,1,1,6,7,1,1,1,4,3.3,2,1,1,1,1,1.2,1,3.3,1.2,0,0,1,1,1
133,6,12,0,1,3,0,0,0,0,0,0,0,0,,,1,6,5,7,7,6,6,6,6.1,7,5,4,6,7,5,5.7,6,6,7,7,6,6.4,6.1,5.7,6.4,0,0,1,5.8,1
134,7,12,1,1,2,0,0,0,0,0,0,0,0,,,1,4,4,4,5,5,4,4,4.3,4,3,3,5,4,4,3.8,3,3,4,6,4,4,4.3,3.8,4,0,0,1,4.2,1
135,7,12,1,1,1,0,0,0,0,0,0,0,0,,,1,3,3,4,4,4,3,3,3.4,3,5,4,4,5,5,4.3,3,4,4,4,3,3.6,3.4,4.3,3.6,0,0,1,3.2,1
136,7,12,1,1,1,0,0,0,0,0,0,0,0,,,1,5,4,6,6,5,4,3,4.7,4,3,4,5,5,4,4.2,3,5,7,5,6,5.2,4.7,4.2,5.2,0,0,1,4.2,1
137,6,12,0,1,2,0,0,0,0,0,0,0,0,,,1,7,5,7,7,6,7,6,6.4,6,7,5,6,4,7,5.8,4,4,5,5,5,4.6,6.4,5.8,4.6,0,0,1,6.2,1
138,6,11,1,1,1,0,0,0,0,0,0,0,0,,,1,2,2,2,4,4,4,1,2.7,4,4,4,3,3,1,3.2,4,4,4,4,4,4,2.7,3.2,4,0,0,1,2.6,1
139,7,14,0,1,1,0,0,0,0,0,0,0,0,,,1,1,2,5,4,5,6,1,3.4,7,6,4,1,1,1,3.3,NA,NA,NA,NA,NA,NA,3.4,3.3,3.686238532,0,0,1,3,1
140,6,11,1,1,1,Y,0,0,0,0,0,0,0,,,1,0,4,4,4,3,3,5,4,3.9,3,7,6,7,2,5,5,4,7,4,NA,5,4,5,5,0,0,1,3,1
141,6,11,0,1,2,0,0,0,0,0,0,0,0,,,1,5,3,3,4,2,5,5,3.9,6,4,5,4,3,5,4.5,6,4,3,5,6,4.8,3.9,4.5,4.8,0,0,1,4,1
142,6,11,0,1,1,0,0,0,0,0,0,0,0,,,1,7,6,2,4,5,6,3,4.7,4,6,3,5,5,7,5,7,7,7,7,7,7,4.7,5,7,0,0,1,5.4,1
143,6,11,1,1,1,0,0,0,0,0,0,0,0,,,1,4,3,7,6,2,4,3,4.1,7,4,1,1,4,3,3.3,4,4,7,6,4,5,4.1,3.3,5,0,0,1,3.2,1
144,6,11,0,1,2,0,0,0,0,0,0,0,0,,,1,4,3,3,4,3,4,4,3.6,2,1,2,2,1,2,1.7,3,3,3,3,3,3,3.6,1.7,3,0,0,1,3.6,1
145,6,11,1,1,2,0,0,0,0,0,0,0,0,,,1,1,1,1,7,1,1,1,1.9,2,1,1,1,2,4,1.8,1,1,1,1,1,1,1.9,1.8,1,0,0,1,1,1
146,6,11,0,1,1,Y,Y,1,0,1,0,0,0,,,1,2,33,2,1,3,6,1,1,1,2.1,2,4,2,2,1,2,2.2,2,1,3,2,1,1,2,0,0,1,3,1
147,7,14,1,1,1,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
148,7,13,0,1,1,0,0,0,0,0,0,0,0,,,1,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1,1,1,1,1,1,1,2.7,1,1,0,0,1,1,1
149,7,13,0,1,2,0,0,0,0,0,0,0,0,,,1,4,4,4,4,4,5,4,4.1,1,3,4,6,3,5,3.7,4,5,3,5,4,4.2,4.1,3.7,4.2,0,0,1,4.2,1
150,7,13,0,1,2,0,0,0,0,0,0,0,0,,,1,1,1,7,7,1,1,1,2.7,3,1,1,1,1,1,1.3,1,1,1,1,1,1,2.7,1.3,1,0,0,1,1,1
