,Grade,Age,Gender,Programming,ProgramingExtent,DBN1,DBN2,DBN3,DBN4,DBN5,DBN6,DBN_Total,DBN_POMP,DBN_Total_N,DBN_POMP_N,Test,Int1,Int2,Int3R,Int4R,Int5,Int6,Int7,Int_Mean,Val1,Val2,Val3,Val4,Val5,Val6,Val_Mean,Exp1,Exp2,Exp3,Exp4,Exp5,Exp_Mean,Int_Mean_1,Val_Mean_1,Exp_Mean_1,DBN_POMP_0,DBN_POMP_17,DBNandNoTest,Int_Mean_1R,PerfAndControl
180,8,14,0,1,3,0,0,0,1,0,0,1,17,,,1,7,7,1,1,7,7,6,5.1,7,7,7,7,6,7,6.8,NA,NA,NA,NA,NA,NA,5.1,6.8,3.686238532,1,0,2,6.8,1
181,8,14,1,1,1,0,1,0,0,0,0,1,17,,,1,4,2,4,5,6,5,NA,4.3,3,4,5,7,7,2,4.7,4,5,4,5,7,5,4.3,4.7,5,1,0,2,NA,1
182,8,14,0,1,2,1,0,0,0,0,0,1,17,,,1,4,5,4,2,4,5,4,4,5,3,4,5,3,4,4,3,4,4,5,5,4.2,4,4,4.2,1,0,2,4.4,1
183,7,12,1,1,1,1,0,0,0,0,0,1,17,,,1,5,4,5,3,NA,5,4,4.3,4,2,3,2,6,1,3,4,3,3,4,3,3.4,4.3,3,3.4,1,0,2,NA,1
184,7,13,0,0,0,0,1,0,0,1,0,2,33,,,1,3,1,6,1,2,1,1,2.1,2,1,2,1,1,5,2,3,3,4,3,2,3,2.1,2,3,1,1,2,1.6,2
185,8,14,1,0,0,1,0,0,0,1,0,2,33,,,1,1,1,7,7,1,1,1,2.7,4,4,1,3,1,5,3,7,5,4,7,7,6,2.7,3,6,1,1,2,1,2
186,8,14,1,0,0,0,1,1,0,0,0,2,33,,,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3.2,1,1,1,1,1,1,1,3.2,1,1,1,2,1,2
187,8,13,1,0,0,0,0,1,0,1,0,2,33,,,1,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1,1,1,1,1,1,1,2.7,1,1,1,1,2,1,2
188,8,14,1,0,0,0,1,0,0,1,0,2,33,,,1,4,3,4,3,3,3,3,3.3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.3,3,3,1,1,2,3.2,2
189,7,12,1,1,2,0,1,0,0,1,0,2,33,,,1,3,3,5,5,5,7,6,4.9,7,7,6,7,7,7,6.8,4,5,5,5,5,4.8,4.9,6.8,4.8,1,1,2,4.8,2
190,7,13,0,1,1,1,1,0,0,0,0,2,33,,,1,3,2,2,3,2,2,3,2.4,2,1,2,2,3,4,2.3,5,4,3,4,3,3.8,2.4,2.3,3.8,1,1,2,2.4,2
