Grade,Age,Gender,Programming,Programing Extent,Father Ed.,Mother Ed.,Computer Home,Internet Home,DBN1,DBN2,DBN3,DBN4,DBN5,DBN6,DBN_Total,DBN_POMP,Int1,Int2,Int3R,Int4R,Int5,Int6,Int7,Int_Mean,Val1,Val2,Val3,Val4,Val5,Val6,Val_Mean,Exp1,Exp2,Exp3,Exp4,Exp5,Exp_Mean
7,12,M,Y,A little bit,College  surveying land,College  second in charge at Brodie International,Y,Y,1,1,0,0,1,0,3,50,7,7,1,1,7,7,7,5.3,7,7,7,7,7,7,7.0,7,7,7,7,7,7
7,12,M,Y,Some,High school,College,Y,Y,1,1,0,0,1,0,3,50,5,6,,,7,6,7,6.2,5,6,7,7,7,7,6.5,7,5,5,7,7,6.2
7,12,F,Y,A little bit,None,High school/in college right now,N,N,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1.0,6,7,1,1,1,4,3.3,2,1,1,1,1,1.2
6,12,M,Y,A lot,High school,,Y,Y,0,0,0,0,0,0,0,0,6,5,7,7,6,6,6,6.1,7,5,4,6,7,5,5.7,6,6,7,7,6,6.4
7,12,F,Y,Some,High school,College/Pharmacy degree,Y,Y,1,0,0,0,1,0,2,33,7,7,7,7,7,6,7,6.9,6,6,6,6,3,6,5.5,7,6,4,6,5,5.6
7,12,F,Y,A little bit,College,College,Y,Y,1,1,0,0,1,0,3,50,6,4,6,4,4,3,4,4.4,2,3,2,1,1,2,1.8,3,2,2,1,2,2
6,11,M,Y,Some,College,Masters,Y,Y,0,1,0,0,1,0,2,33,7,7,7,7,7,7,5,6.7,7,4,4,5,5,6,5.2,7,7,7,7,7,7
7,12,F,Y,,,Demetria,Y,N,0,0,0,0,0,0,0,0,4,4,4,5,5,4,4,4.3,4,3,3,5,4,4,3.8,3,3,4,6,4,4
7,12 1/2,M,Y,Some,College,College,Y,Y,0,0,1,0,1,0,2,33,3,6,4,5,4,3,5,4.3,2,2,2,1,2,1,1.7,5,6,5,4,7,5.4
6,11,F,Y,A little bit,College,High school,Y,N,1,1,0,0,0,0,2,33,5,5,2,2,5,6,6,4.4,4,6,5,7,6,6,5.7,3,2,5,4,6,4
7,13,M,Y,A little bit,College,College,N,N,0,0,1,0,1,0,2,33,3,4,2,3,4,4,4,3.4,3,3,3,3,4,4,3.3,4,3,3,3,1,2.8
7,12,F,Y,A little bit,Associates degree Law enforcement,Associates degree Department of Labor,Y,Y,0,0,0,0,0,0,0,0,3,3,4,4,4,3,3,3.4,3,5,4,4,5,5,4.3,3,4,4,4,3,3.6
7,14,M,N,,,,N,Y,0,0,0,0,0,0,0,0,7,1,5,7,1,7,5,4.7,7,5,4,7,7,5,5.8,,,,,,
7,12,F,Y,A little bit,High school,College,Y,Y,0,0,0,0,0,0,0,0,5,4,6,6,5,4,3,4.7,4,3,4,5,5,4,4.2,3,5,7,5,6,5.2
7,13,M,Y,Some,High school,High school,Y,Y,0,1,1,0,0,0,2,33,6,6,5,5,6,6,4,5.4,7,7,7,7,7,7,7.0,7,7,7,7,7,7
6,13,M,,A lot,High school,High school,N,N,0,0,0,0,0,0,0,0,7,7,7,7,7,4,1,5.7,4,4,4,4,7,7,5.0,7,4,7,7,7,6.4
6,12,M,Y,Some,,Don't know,Y,Y,0,0,0,0,0,0,0,0,7,5,7,7,6,7,6,6.4,6,7,5,6,4,7,5.8,4,4,5,5,5,4.6
6,13,M,Y,Some,College,Doctor,Y,Y,1,1,0,0,0,0,2,33,7,7,7,7,7,7,7,7.0,5,7,7,7,7,7,6.7,2,2,3,7,7,4.2
6,11,F,Y,A little bit,College,College,Y,Y,0,0,0,0,0,0,0,0,2,2,2,4,4,4,1,2.7,4,4,4,3,3,1,3.2,4,4,4,4,4,4
6,11,M,Y,A lot,College,College,Y,Y,0,1,0,0,1,1,3,50,7,5,3,4,6,7,6,5.4,6,3,4,1,5,1,3.3,7,7,7,7,7,7
6,11,M,Y,Some,College,College,Y,Y,0,1,0,0,0,0,1,17,4,3,4,2,3,5,4,3.6,5,4,5,6,3,3,4.3,3,3,2,4,3,3
6,11,F,Y,Some,High school,High school,Y,Y,0,0,0,0,1,0,1,17,4,5,1,1,2,1,1,2.1,1,1,3,2,1,3,1.8,,,,,,
6,11,M,Y,A little bit,,,Y,Y,0,1,1,0,0,0,2,33,4,4,1,1,1,1,1,1.9,4,1,1,1,4,4,2.5,4,4,4,4,4,4
7,14,M,Y,A little bit,High school,High school,N,Y,0,0,0,0,0,0,0,0,1,2,5,4,5,6,1,3.4,7,6,4,1,1,1,3.3,,,,,,
7,13,F,,A little bit,High school,High school,Y,Y,0,0,0,0,0,0,0,0,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1.0,1,1,1,1,1,1
